Open,High,Low,Close,Adj Close,Volume
405,405,380.799988,389.350006,322.621155,444467
393.100006,393.100006,377,389.899994,323.076904,27889
385.100006,396,382.100006,391.350006,324.278473,26979
390,392.75,350.049988,390,323.159729,73931
396,396,390,390.450012,323.532715,26910
386,394.200012,386,391.399994,324.319794,17071
393.899994,393.899994,386,390.049988,323.201202,10389
391,393.950012,382.600006,390.649994,323.698456,163060
376.950012,396.5,376.950012,388.450012,321.875458,11136
380,389.100006,372.600006,382.850006,317.235291,20541
386.5,386.850006,380.299988,383.75,317.980927,14212
379,379,350.399994,369.200012,305.924591,29133
362.100006,371.850006,342.049988,349.549988,289.642365,86584
343,360,343,348.549988,288.813751,96104
360,363,335,352.600006,292.169525,104133
350,352,330,337.100006,279.326141,219404
340,352,328,338.350006,280.361969,215673
320,335,311,319.899994,265.073822,264101
324.5,327,310.100006,319.5,264.742401,295757
328,328,315.200012,318.25,263.706726,150623
312.200012,319.850006,307,315.700012,261.593689,128967
311.600006,362.950012,311.600006,353.5,292.915405,33204
350,350,341.049988,344.950012,285.830841,35096
348,359,334.149994,345.25,286.079254,61204
344.799988,349.950012,332.600006,339.600006,281.397644,59002
339.950012,341,331,337.600006,279.740417,71577
334.950012,334.950012,322.5,328.850006,272.48996,61540
341,341,331.100006,336.600006,278.911713,53614
345.899994,345.899994,326.200012,328.200012,271.951416,56077
329,329,320,323.399994,267.974091,281743
338,338,320,325,269.299835,20619
324.950012,325,321.100006,323.350006,267.932556,29725
330,330,320,322.75,267.435516,75783
324.850006,325,320,324.75,269.092651,17640
327.600006,329,321.399994,327.75,271.578583,23525
325.100006,330,321.549988,328.700012,272.365601,14489
329.950012,330.5,319,322.549988,267.269745,159978
323,327.75,323,325.100006,269.382751,5721
324.950012,329,321,325.399994,269.631317,15342
320,328.899994,320,324.5,268.885498,6857
325,325,320.100006,323.350006,267.932556,61408
323,324,319.649994,321.25,266.192535,108774
323.649994,323.649994,318,321.549988,266.441071,22988
319.049988,324.850006,319.049988,320.600006,265.653931,26449
323,326.799988,320.100006,321.850006,266.689606,36964
320,326,320,323.200012,267.808319,157179
324.899994,326.950012,323.049988,323.950012,268.429718,9516
324.950012,331,323,323.049988,267.684113,141005
323.049988,324.5,319.5,322.450012,267.18689,65185
322.049988,325,317,318.299988,263.748108,23217
318,320,312.600006,317.75,263.292358,14525
325,378,303.5,310.149994,256.994904,59743
305.149994,358.799988,298,314.600006,260.68222,133927
327.950012,327.950012,311.700012,314.850006,260.889435,70023
311,325,298.049988,305.649994,253.266068,211374
307,322,300,319.149994,264.452423,50941
320,327.899994,314.25,320.299988,265.405365,7773
315.299988,325,315,320.899994,265.902496,116324
315.100006,330,315.100006,326.850006,270.832764,15553
320,330,320,327.350006,271.24707,7307
327,342,323,337.799988,279.906036,128929
334,349.5,327,343.149994,284.339203,76368
353.850006,353.850006,335.100006,342.899994,284.132019,65612
350,350,328,334.25,276.964478,14655
338.75,350,331.25,342.200012,283.551971,19024
340.100006,350,330,346.549988,287.156494,17094
350,350,337,339.700012,281.480499,19973
335,344.799988,322.600006,336.350006,278.70459,28680
340.5,340.5,327.5,329.950012,273.401459,18180
330,339,320.399994,333.200012,276.094482,23783
330.100006,339.399994,325.25,329.299988,272.862823,38830
320,325.049988,307.100006,315.649994,261.552307,19818
318.5,318.5,300.5,309.100006,256.124878,107932
327.950012,327.950012,299,303.549988,251.52594,162274
300.100006,309,298.25,303.700012,251.65036,36435
302,308,299,304.950012,252.686127,38748
312,317.850006,302,304.25,252.106125,56335
308.600006,320,304.549988,316.399994,262.173645,14589
320.5,322,315.100006,319.299988,264.576691,15268
315,315.899994,305.5,309.649994,256.580536,10791
311.299988,316,303.149994,306.850006,254.260437,17254
301.649994,308,299.75,301,249.413101,40317
300.5,306,294,299,247.755829,80457
293,304,291,300.549988,249.040207,39895
305.850006,307,296,299.799988,248.418716,62458
299.399994,304.899994,292,299.799988,248.418716,28477
291,309,275.399994,287.649994,238.351089,59148
273,297.899994,273,284.700012,235.906677,47217
275.649994,295,275.649994,291.549988,241.582642,76748
275.100006,291.950012,275.100006,289.399994,239.801086,17963
275.299988,290,275.299988,281.100006,232.923615,86111
281.100006,298,281.100006,296.700012,245.850037,23965
282.350006,356,282.350006,309.25,256.249084,3155208
305,314.5,298,299.899994,248.501556,55449
299,303.75,293.049988,299.299988,248.004425,29107
299,299.950012,296.149994,297.850006,246.802902,80031
301.100006,301.100006,292.100006,294.899994,244.358551,24654
285,295,285,292.100006,242.038422,21687
275.299988,297,275.299988,289.350006,239.759735,31275
275.299988,295,275.299988,283.799988,235.160797,31835
275.299988,288,275,279.350006,231.473587,120178
276,290,271.200012,279.5,231.597839,88448
278.049988,283,275,279.25,231.390671,132449
283,296.75,270,282.399994,234.00087,164477
292,294.850006,279.149994,289.149994,242.946915,78055
289.5,298.600006,283.25,293.950012,246.979889,59864
276.950012,302,276.950012,296,248.702362,63463
290.200012,304.649994,285.600006,294.399994,247.358002,91670
295,300,293.25,297.200012,249.710587,267979
297.100006,301,288.100006,291.649994,245.04747,197005
275.299988,299,275.299988,297.100006,249.626587,76339
292,315.5,292,310.700012,261.053436,68126
301,317,285.649994,305.049988,256.306213,107028
301,315.899994,301,309.899994,260.381256,37080
302,314.899994,302,313.299988,263.237976,379988
308,325,308,322.049988,270.589813,14180
323,343.950012,323,341.700012,287.099976,220435
320,356.799988,320,353.649994,297.140472,55630
355,355,335,349.399994,293.569611,20321
349.5,349.5,342,347.100006,291.637115,62911
345,347.899994,343,346.350006,291.006927,22469
